Site ID,Name
10.237.1.29,AB0020-ATN950B-CSG4
10.237.1.30,LAB0040_ATN950B_CSG-1
10.237.1.31,LAB0041-ATN950B-CSG-1
10.237.1.26,HAB0001-ATN950B-CSG1
10.237.1.28,HAB0016-ATN950B-CSG-1
10.237.1.25,HAB0135-CX600-X2-M8-ASG
10.237.1.38,AB0388-ATN950B-CSG-1
10.237.1.36,AB1241-ATN910C-ASG-1
10.237.1.37,LAB0379-ATN950B-CSG-1
10.237.1.32,LAB0048-ATN950B-CSG-1
10.237.1.35,LAB0133-ATN950B-CSG-1
10.237.1.233,KG0046-ATN-910C-ASG
10.237.1.230,KG0036-ATN-910C-CSG
10.237.1.229,HKG0275-ATN910C-ASG-1
10.237.1.231,KG0038-ATN-910C-ASG
10.237.1.253,BN0079-ATN910C-CSG
10.237.1.232,KG0287-ATN910C-ASG
10.237.33.157,HRV0467-ATN950CASG-1
10.237.33.14,HAK0076-ATN950C-CSG
10.237.33.24,HAK0113-ATN-950C-CSG
10.237.33.21,HAK0370-ATN-950C-ASG-1
10.237.33.20,HAK0005-ATN-950C-CSG
10.237.33.23,HAK0483-ATN-950C-ASG-1
10.238.33.20,HKT0291-ATN950C-CSG
10.237.33.12,HAK0071-ATN-950C-CSG
10.237.33.151,LRV0094-ATN95C-CSG
10.237.33.161,LRV0729-ATN-910CASG-1
10.237.33.159,LRV0651-ATN-910CASG-1
10.237.33.150,HRV0076-ATN-910C-CSG
10.237.33.148,LRV0046-ATN950C-CSG
10.237.33.146,LRV0028-ATN950C-CSG
10.238.65.18,HEN0355-ATN-950C-ASG-1
10.208.83.66,Benin-ED0123-CX600-X8
10.238.65.16,HEN0029-ATN-950C-ASG-1
10.238.65.13,HEN0009-ATN-950C-ASG-1
10.238.65.11,EN0004-ATN950C-CSG
10.238.65.6,EN0001-ATN950C-CSG
10.237.33.200,HCR0029-ATN-950C-ASG-1
10.237.33.155,HRV0127-ATN-950C-ASG-1
10.237.33.152,HRV0100-ATN-950C-ASG-1
10.237.33.147,HRV0029-ATN-950C-ASG-1
10.238.65.15,HEN0021-ATN-950C-ASG-1
10.237.33.160,HRV0710-ATN-950C-ASG-1
10.237.33.162,HRV0738-ATN-950C-ASG-1
10.238.1.11,HKD0071-ATN950C-CSG
10.238.1.10,HKD0100-ATN-950C-CSG
10.238.1.12,HKD0035-ATN-950C-ASG-1
10.237.33.199,CR0028-ATN-950C-ASG-1
10.238.129.211,HAN0435-ATN950C-CSG
10.238.129.204,HAN0011-ATN950C-ASG-1
10.238.129.202,HANB01-ATN950C-CSG
10.238.1.7,HKD0046-ATN-950C-ASG-1
10.238.1.6,HKD0005-ATN-950C-ASG-1
10.238.1.8,HKD0013-ATN950C-CSG
10.238.1.9,HKD0034-ATN950C-CSG
10.238.1.19,HKD0449-ATN-910C-ASG-1
10.238.1.18,HKD0021-ATN-910C-ASG-1
10.238.1.17,HKD0098-ATN-910C-ASG-1
10.238.1.16,HKD0608-ATN-910C-ASG-1
10.238.33.22,KN0422-ATN-910C-CSG
10.238.33.21,HKN0015-ATN-950C-ASG-1
10.238.33.18,HKN0009-ATN910C-ASG-1
10.238.33.12,HKN0046-ATN910C-ASG-1
10.238.33.13,HKN0008-ATN910C-ASG-1
10.238.33.17,HKN0472-ATN910C-ASG-1
10.238.33.16,HKN0006-ATN910C-ASG-1
10.238.33.15,HKN0544-ATN910C-ASG-1
10.238.33.14,HKN0546-ATN910C-ASG-1
10.237.33.137,HRV0074-ATN-950C-ASG-1_NEW
10.238.129.212,HAN0025-ATN950C-ASG-1
10.238.97.121,CYOLY01-CX600_X2_M8-RSG-2
10.238.65.23,HEB0029-ATN-950C-ASG-1
10.237.1.133,HTR0063-ATN-950C-ASG-1
10.237.1.132,HBN0025-ATN-910C-ASG-1
10.237.33.218,HRV0018-ATN-950C-ASG-1
